Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
results/game00.truth,  17.5,   3.0,  13.6,   6.8,  23.3,   5.3,   2.7,   2.9,   3.9,   8.4,   8.4,
results/game01.truth,  16.1,   3.0,  14.8,   8.5,  22.7,   3.9,   3.2,   2.8,   3.3,  10.7,   7.0,
results/game02.truth,  14.4,   3.2,  14.4,   8.2,  24.9,   4.4,   4.2,   3.1,   3.2,   8.6,   7.6,
results/game03.truth,  15.6,   3.0,  16.1,   6.1,  25.7,   5.5,   2.4,   2.7,   3.6,   7.8,   6.6,
results/game04.truth,  16.7,   2.1,  16.2,   7.9,  24.9,   4.9,   2.8,   1.9,   3.4,   7.2,   6.9,
results/game05.truth,  15.3,   2.0,  14.9,   6.9,  27.0,   4.7,   3.4,   3.0,   3.2,   8.6,   7.1,
results/game06.truth,  16.5,   2.2,  17.1,   7.7,  25.4,   4.1,   2.5,   3.4,   3.7,   8.6,   5.7,
results/game07.truth,  15.2,   2.6,  16.2,   8.1,  24.5,   4.0,   3.2,   2.4,   4.3,   8.7,   6.5,
results/game08.truth,  16.4,   1.9,  16.7,   8.7,  26.8,   2.8,   2.5,   3.6,   5.2,   3.3,   7.3,
results/game09.truth,  16.2,   1.2,  16.6,  10.1,  26.6,   3.4,   1.8,   3.2,   6.2,   2.7,   8.3,
results/game10.truth,  15.5,   1.6,  14.0,   8.4,  30.3,   2.1,   2.9,   3.4,   5.2,   3.4,   8.5,
results/game11.truth,  16.5,   1.2,  15.2,  10.2,  28.4,   3.0,   1.7,   2.8,   6.3,   3.2,   6.5,
results/game12.truth,  15.9,   0.7,  14.8,  10.5,  29.7,   3.6,   3.3,   3.2,   4.9,   3.0,   6.9,
results/game13.truth,  10.9,   1.2,  21.1,  10.5,  27.4,   3.8,   2.0,   2.9,   5.3,   3.2,   7.0,
results/game14.truth,  10.9,   1.0,  22.7,   9.2,  30.1,   3.0,   2.1,   2.5,   5.4,   2.9,   6.0,
results/game15.truth,  12.6,   1.5,  19.5,   8.4,  28.5,   3.3,   1.8,   3.4,   6.9,   2.7,   7.5,
results/game16.truth,   8.9,   2.5,  21.1,   8.8,  26.4,   4.5,   1.7,   3.4,   7.1,   2.6,   9.2,
results/game17.truth,   9.5,   1.4,  23.1,   6.8,  29.5,   3.2,   0.9,   3.1,   6.4,   2.8,   8.5,
results/game18.truth,   8.1,   1.8,  20.9,   6.5,  30.7,   3.0,   1.7,   2.5,   7.4,   2.0,   9.3,
results/game19.truth,   8.8,   2.0,  25.4,   6.0,  27.7,   2.7,   1.4,   2.8,   9.1,   1.5,   8.3,
results/game20.truth,  12.5,   1.5,  24.0,   5.1,  29.5,   3.2,   1.9,   2.2,   6.3,   0.9,   9.1,
results/game21.truth,  17.1,   0.8,  20.6,   2.9,  36.6,   0.6,   1.0,   3.3,   5.0,   2.6,   6.2,
results/game22.truth,  15.6,   1.1,  22.2,   2.6,  37.7,   0.5,   0.6,   3.3,   4.8,   2.0,   6.0,
results/game23.truth,  16.9,   1.3,  23.8,   2.7,  36.6,   0.8,   1.1,   2.7,   3.7,   1.5,   5.5,
results/game24.truth,  18.6,   0.6,  21.5,   2.3,  37.4,   0.3,   1.3,   3.9,   4.1,   1.5,   5.0,
results/game25.truth,  13.4,   0.9,  24.2,   2.3,  38.2,   1.4,   0.7,   3.6,   4.3,   2.0,   4.3,
results/game26.truth,  15.1,   2.9,  24.0,   3.2,  37.6,   0.7,   2.1,   0.0,   4.1,   1.5,   4.2,
results/game27.truth,  14.7,   2.9,  25.3,   3.5,  36.8,   0.9,   1.5,   0.1,   3.4,   2.5,   3.1,
results/game28.truth,  13.5,   1.9,  25.6,   3.7,  38.2,   0.6,   1.3,   0.0,   3.9,   2.0,   4.2,
results/game29.truth,  15.2,   2.8,  27.3,   3.3,  35.3,   0.6,   0.4,   0.2,   4.0,   1.8,   4.1,
