Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,   16.8800,    2.9000,   14.1000,    7.5300,   24.9000,    4.9300,    2.9700,    2.7600,    2.7700,    8.9500,    6.5900,
Round 1 Game 1: Duke defeats North Carolina-Wilmington,   17.2400,    2.8700,   13.9700,    7.7100,   23.7400,    4.4800,    2.9400,    2.6800,    3.0000,    9.4500,    7.2000,
Round 1 Game 2: Butler defeats Texas Tech,   17.3300,    2.8300,   14.4100,    7.5700,   24.1300,    4.7800,    3.4900,    2.6700,    3.4000,    8.9500,    6.2300,
Round 1 Game 3: Connecticut defeats Colorado,   14.6100,    2.6900,   16.3500,    7.4800,   24.2200,    5.1800,    3.4400,    2.5500,    3.9100,    8.5800,    6.5900,
Round 1 Game 4: Iowa State defeats Iona,   15.5100,    2.4000,   15.2200,    7.1600,   25.7300,    4.9600,    3.4500,    2.5200,    3.6200,    8.3800,    6.7600,
Round 1 Game 5: Yale defeats Baylor,   14.9800,    1.8100,   16.4100,    7.6500,   25.0000,    4.0800,    3.2600,    2.9800,    3.8100,    8.4200,    7.0800,
Round 1 Game 6: Virginia defeats Hampton,   14.7200,    2.1100,   16.2900,    7.5900,   24.9000,    3.8000,    3.3800,    3.0300,    4.1700,    8.4600,    7.1500,
Round 1 Game 7: Kansas defeats Austin Peay,   15.3500,    2.1500,   15.6400,    7.7500,   25.1700,    4.0100,    3.3300,    2.4500,    4.1000,    8.7200,    6.8000,
Round 1 Game 8: Arkansas-Little Rock defeats Purdue,   15.7800,    1.2100,   16.7600,    9.5500,   28.3100,    2.3900,    2.4400,    3.1000,    6.0000,    2.9600,    7.0700,
Round 1 Game 9: Miami (FL) defeats Buffalo,   15.3600,    1.4200,   15.6800,   10.1000,   27.5300,    2.8900,    2.4100,    3.0600,    6.2800,    3.0600,    7.6600,
Round 1 Game 10: Indiana defeats Chattanooga,   15.8900,    1.2700,   15.1100,    9.0800,   28.8100,    2.7400,    2.7300,    2.8800,    5.8900,    3.3500,    7.5500,
