Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
sweet16.truth,   20.7400,    1.8600,   24.1000,    1.8600,   41.9400,    1.3600,    0.0000,    0.0000,    0.9600,    1.9400,    3.5900,
Round 3 Game 1A: Kansas defeats Maryland,   23.5100,    1.9400,   26.6700,    1.9200,   35.5100,    1.1900,    0.0000,    0.0000,    0.7500,    2.1300,    4.6900,
Round 3 Game 1B: Maryland defeats Kansas,   14.2200,    2.7100,   16.3500,    2.7200,   57.2000,    1.7600,    0.0000,    0.0000,    0.8600,    1.4100,    0.0000,
Round 3 Game 2A: Miami (FL) defeats Villanova,   40.0200,    4.1200,   14.2800,    2.0700,   26.5900,    1.9200,    0.0000,    0.0000,    1.6000,    1.9300,    3.7800,
Round 3 Game 2B: Villanova defeats Miami (FL),   11.5900,    0.9600,   30.1900,    1.9900,   48.7400,    0.9600,    0.0000,    0.0000,    0.3100,    1.6600,    3.0800,
Round 3 Game 3A: Oregon defeats Duke,   31.3800,    3.3400,   11.0700,    3.6000,   38.7100,    2.2900,    0.0000,    0.0000,    0.0000,    0.0000,    6.9000,
Round 3 Game 3B: Duke defeats Oregon,    9.5600,    0.5000,   39.4400,    0.0000,   43.4700,    0.0000,    0.0000,    0.0000,    1.5200,    4.4000,    0.0000,
Round 3 Game 4A: Texas A&M defeats Oklahoma,   21.5300,    5.3700,   22.4500,    1.5200,   40.1800,    0.0000,    0.0000,    0.0000,    2.0200,    1.7800,    3.7000,
Round 3 Game 4B: Oklahoma defeats Texas A&M,   21.3300,    0.0000,   25.5600,    2.5000,   41.1900,    1.9800,    0.0000,    0.0000,    0.0000,    1.9600,    3.5300,
Round 3 Game 5A: North Carolina defeats Indiana,   25.1100,    1.4900,   28.8200,    1.2800,   36.9600,    0.8600,    0.0000,    0.0000,    0.0000,    1.3500,    2.7400,
Round 3 Game 5B: Indiana defeats North Carolina,    9.9000,    2.7600,   11.4600,    3.5500,   54.2700,    2.1900,    0.0000,    0.0000,    2.8200,    3.5100,    6.7200,
Round 3 Game 6A: Notre Dame defeats Wisconsin,   21.6200,    1.7500,   25.2700,    1.8800,   40.1900,    1.3700,    0.0000,    0.0000,    0.7200,    1.8900,    3.6300,
Round 3 Game 6B: Wisconsin defeats Notre Dame,   21.2400,    2.0500,   24.3300,    1.7800,   41.5100,    1.2200,    0.0000,    0.0000,    0.6800,    1.9900,    3.4500,
Round 3 Game 7A: Virginia defeats Iowa State,   26.1600,    0.8700,   19.2700,    1.3300,   48.0200,    0.0000,    0.0000,    0.0000,    0.5900,    0.0000,    1.6300,
Round 3 Game 7B: Iowa State defeats Virginia,    7.2200,    5.3200,   38.4900,    4.0800,   23.1400,    4.3500,    0.0000,    0.0000,    1.2700,    7.1600,    8.3100,
Round 3 Game 8A: Gonzaga defeats Syracuse,   20.8200,    2.0500,   24.8400,    2.0800,   39.9200,    1.3300,    0.0000,    0.0000,    0.7200,    2.2100,    3.8400,
