Probability of Winning
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,   32.8800,    1.7200,    0.0000,    0.0000,    6.5800,    0.0000,    1.6900,    0.0000,    0.1400,    3.3300,   49.3500,    0.0000,    0.9300,    1.3300,
Round 3 Game 1A: Kansas defeats Maryland,   39.5700,    1.8000,    0.0000,    0.0000,    6.9100,    0.0000,    1.4700,    0.0000,    0.2000,    0.0000,   45.3300,    0.0000,    1.3200,    1.4800,
Round 3 Game 1B: Maryland defeats Kansas,   12.5400,    1.2300,    0.0000,    0.0000,    5.4300,    0.0000,    2.1100,    0.0000,    0.0000,   14.8500,   59.5300,    0.0000,    0.0000,    1.9600,
Round 3 Game 2A: Miami (FL) defeats Villanova,   30.8900,    1.6400,    0.0000,    0.0000,    6.2900,    0.0000,    0.3000,    0.0000,    0.0000,    4.3800,   46.6800,    0.0000,    1.1000,    3.2000,
Round 3 Game 2B: Villanova defeats Miami (FL),   33.7600,    1.7800,    0.0000,    0.0000,    6.8800,    0.0000,    2.4800,    0.0000,    0.1300,    3.2500,   49.8900,    0.0000,    0.8400,    0.7300,
Round 3 Game 3A: Oregon defeats Duke,   21.7100,    0.0000,    0.0000,    0.0000,    9.4000,    0.0000,    3.4300,    0.0000,    0.2400,    2.0400,   57.1700,    0.0000,    1.9600,    2.8800,
Round 3 Game 3B: Duke defeats Oregon,   44.9500,    3.3600,    0.0000,    0.0000,    3.6500,    0.0000,    0.0000,    0.0000,    0.0000,    4.8000,   40.2600,    0.0000,    0.0000,    0.0000,
Round 3 Game 4A: Texas A&M defeats Oklahoma,   33.2600,    0.0000,    0.0000,    0.0000,    0.2800,    0.0000,    4.3500,    0.0000,    0.0600,    2.2600,   51.0100,    0.0000,    2.6500,    3.1700,
Round 3 Game 4B: Oklahoma defeats Texas A&M,   32.0900,    2.7300,    0.0000,    0.0000,   11.0400,    0.0000,    0.0000,    0.0000,    0.0700,    3.7700,   48.3900,    0.0000,    0.0000,    0.5100,
Round 3 Game 5A: North Carolina defeats Indiana,   30.8400,    1.0400,    0.0000,    0.0000,    5.3600,    0.0000,    1.2400,    0.0000,    0.0500,    1.7200,   55.8100,    0.0000,    0.3600,    1.8500,
Round 3 Game 5B: Indiana defeats North Carolina,   36.2800,    3.4300,    0.0000,    0.0000,   10.4500,    0.0000,    2.9800,    0.0000,    0.1500,    8.6800,   31.1100,    0.0000,    2.6500,    1.2900,
Round 3 Game 6A: Notre Dame defeats Wisconsin,   33.3200,    1.6000,    0.0000,    0.0000,    6.7800,    0.0000,    1.7000,    0.0000,    0.0800,    3.3700,   48.8500,    0.0000,    0.9800,    1.4600,
Round 3 Game 6B: Wisconsin defeats Notre Dame,   32.4200,    1.6400,    0.0000,    0.0000,    6.4800,    0.0000,    1.5200,    0.0000,    0.1100,    3.3800,   49.3800,    0.0000,    0.9100,    1.8000,
Round 3 Game 7A: Virginia defeats Iowa State,   29.3800,    1.7900,    0.0000,    0.0000,    6.5600,    0.0000,    1.3500,    0.0000,    0.0000,    2.8100,   54.7100,    0.0000,    0.9000,    0.0000,
Round 3 Game 7B: Iowa State defeats Virginia,   41.4300,    1.3700,    0.0000,    0.0000,    6.6700,    0.0000,    2.3600,    0.0000,    0.3500,    4.6100,   34.8500,    0.0000,    1.0700,    5.5200,
Round 3 Game 8A: Gonzaga defeats Syracuse,   29.7000,    1.6200,    0.0000,    0.0000,    5.9000,    0.0000,    0.8600,    0.0000,    0.0000,    3.5200,   56.2900,    0.0000,    0.8500,    0.6500,
Round 3 Game 8B: Syracuse defeats Gonzaga,   37.7300,    1.5300,    0.0000,    0.0000,    8.3800,    0.0000,    3.2100,    0.0000,    0.2700,    3.3500,   37.3800,    0.0000,    0.8400,    2.9800,

Probability of Losing
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,    0.0000,   13.0200,    0.0000,   52.5300,    0.0000,    0.6100,    0.0000,   28.7000,    1.2600,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 1A: Kansas defeats Maryland,    0.0000,   11.1600,    0.0000,   66.9600,    0.0000,    0.2000,    0.0000,   17.5500,    1.6600,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 1B: Maryland defeats Kansas,    0.0000,   17.4400,    0.0000,   10.9900,    0.0000,    2.5500,    0.0000,   62.1600,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 2A: Miami (FL) defeats Villanova,    0.0000,   15.8400,    0.0000,   44.3500,    0.0000,    1.3800,    0.0000,   31.0900,    3.7600,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 2B: Villanova defeats Miami (FL),    0.0000,   10.8800,    0.0000,   56.9100,    0.0000,    0.2500,    0.0000,   28.2300,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 3A: Oregon defeats Duke,    0.0000,   24.9200,    0.0000,   50.9900,    0.0000,    1.1300,    0.0000,   15.5600,    0.6200,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 3B: Duke defeats Oregon,    0.0000,    0.0000,    0.0000,   54.6700,    0.0000,    0.0000,    0.0000,   43.1400,    2.1900,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 4A: Texas A&M defeats Oklahoma,    0.0000,   20.5400,    0.0000,   39.2600,    0.0000,    1.3800,    0.0000,   26.0300,    3.3600,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 4B: Oklahoma defeats Texas A&M,    0.0000,    8.8900,    0.0000,   60.1600,    0.0000,    0.1700,    0.0000,   30.7800,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 3 Game 5A: North Carolina defeats Indiana,    0.0000,   17.3000,    0.0000,   44.8200,    0.0000,    0.0000,    0.0000,   32.1000,    0.8800,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
