Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
s16g4.truth,   27.0000,    0.0000,   16.7100,    3.3400,   41.3000,    3.8300,    0.0000,    0.0000,    0.0000,    0.0000,    9.2900,
Round 3 Game 5A: North Carolina defeats Indiana,   28.6900,    0.0000,   22.7100,    2.0800,   37.9300,    3.2100,    0.0000,    0.0000,    0.0000,    0.0000,    6.5000,
Round 3 Game 5B: Indiana defeats North Carolina,   18.0100,    0.0000,    0.0000,    6.4300,   52.3900,    7.5500,    0.0000,    0.0000,    0.0000,    0.0000,   18.5800,
Round 3 Game 6A: Notre Dame defeats Wisconsin,   25.4600,    0.0000,   16.9300,    3.4300,   42.6100,    3.9600,    0.0000,    0.0000,    0.0000,    0.0000,    8.9300,
Round 3 Game 6B: Wisconsin defeats Notre Dame,   26.0400,    0.0000,   16.8000,    3.4300,   41.5000,    4.0700,    0.0000,    0.0000,    0.0000,    0.0000,    9.5600,
Round 3 Game 7A: Virginia defeats Iowa State,   36.7100,    0.0000,    8.2600,    2.3200,   46.7600,    2.0400,    0.0000,    0.0000,    0.0000,    0.0000,    5.9500,
Round 3 Game 7B: Iowa State defeats Virginia,    0.0000,    0.0000,   37.2600,    6.3100,   27.8200,    9.9200,    0.0000,    0.0000,    0.0000,    0.0000,   18.6900,
Round 3 Game 8A: Gonzaga defeats Syracuse,   24.4700,    0.0000,   17.2900,    3.5700,   42.2200,    4.4700,    0.0000,    0.0000,    0.0000,    0.0000,    9.9300,
Round 3 Game 8B: Syracuse defeats Gonzaga,   27.7000,    0.0000,   15.8800,    2.9600,   43.6100,    3.2800,    0.0000,    0.0000,    0.0000,    0.0000,    7.5600,

Probability of Losing
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
