Probability of Winning
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
s16g4.truth,    0.0000,   16.5400,    0.9300,    0.0000,    0.0000,   28.4600,    0.0000,    0.0000,    0.0000,    0.0000,   54.6000,    0.0000,    0.0000,    0.0000,
Round 3 Game 5A: North Carolina defeats Indiana,    0.0000,   12.7600,    0.6300,    0.0000,    0.0000,   26.6200,    0.0000,    0.0000,    0.0000,    0.0000,   60.4100,    0.0000,    0.0000,    0.0000,
Round 3 Game 5B: Indiana defeats North Carolina,    0.0000,   25.6200,    1.8400,    0.0000,    0.0000,   32.0300,    0.0000,    0.0000,    0.0000,    0.0000,   41.7800,    0.0000,    0.0000,    0.0000,
Round 3 Game 6A: Notre Dame defeats Wisconsin,    0.0000,   16.6500,    0.9400,    0.0000,    0.0000,   28.3400,    0.0000,    0.0000,    0.0000,    0.0000,   54.6800,    0.0000,    0.0000,    0.0000,
Round 3 Game 6B: Wisconsin defeats Notre Dame,    0.0000,   15.8800,    0.7600,    0.0000,    0.0000,   28.8700,    0.0000,    0.0000,    0.0000,    0.0000,   54.9700,    0.0000,    0.0000,    0.0000,
Round 3 Game 7A: Virginia defeats Iowa State,    0.0000,   15.2100,    0.0000,    0.0000,    0.0000,   27.4700,    0.0000,    0.0000,    0.0000,    0.0000,   57.3200,    0.0000,    0.0000,    0.0000,
Round 3 Game 7B: Iowa State defeats Virginia,    0.0000,   18.7000,    2.8300,    0.0000,    0.0000,   33.0200,    0.0000,    0.0000,    0.0000,    0.0000,   47.2800,    0.0000,    0.0000,    0.0000,
Round 3 Game 8A: Gonzaga defeats Syracuse,    0.0000,   13.6800,    0.9600,    0.0000,    0.0000,   27.3900,    0.0000,    0.0000,    0.0000,    0.0000,   58.9300,    0.0000,    0.0000,    0.0000,
Round 3 Game 8B: Syracuse defeats Gonzaga,    0.0000,   20.3000,    0.7300,    0.0000,    0.0000,   30.5800,    0.0000,    0.0000,    0.0000,    0.0000,   48.3900,    0.0000,    0.0000,    0.0000,

Probability of Losing
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
s16g4.truth,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    9.4500,    0.0000,    0.0000,   13.6700,    0.0000,   76.8800,    0.0000,    0.0000,
Round 3 Game 5A: North Carolina defeats Indiana,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   13.4100,    0.0000,    0.0000,   17.5500,    0.0000,   69.0400,    0.0000,    0.0000,
Round 3 Game 5B: Indiana defeats North Carolina,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0000,    0.0000,    0.0000,
Round 3 Game 6A: Notre Dame defeats Wisconsin,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    9.4700,    0.0000,    0.0000,   13.6500,    0.0000,   76.8800,    0.0000,    0.0000,
Round 3 Game 6B: Wisconsin defeats Notre Dame,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    9.9000,    0.0000,    0.0000,   13.1300,    0.0000,   76.9700,    0.0000,    0.0000,
Round 3 Game 7A: Virginia defeats Iowa State,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   10.1000,    0.0000,    0.0000,   12.6300,    0.0000,   77.2700,    0.0000,    0.0000,
Round 3 Game 7B: Iowa State defeats Virginia,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    9.9300,    0.0000,    0.0000,   13.5300,    0.0000,   76.5400,    0.0000,    0.0000,
Round 3 Game 8A: Gonzaga defeats Syracuse,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    9.8900,    0.0000,    0.0000,   12.9700,    0.0000,   77.1400,    0.0000,    0.0000,
Round 3 Game 8B: Syracuse defeats Gonzaga,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    9.7300,    0.0000,    0.0000,   13.3000,    0.0000,   76.9700,    0.0000,    0.0000,

Best Finish
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
s16g4.truth,     3,     1,     1,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,
Round 3 Game 5A: North Carolina defeats Indiana,     3,     1,     1,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,
Round 3 Game 5B: Indiana defeats North Carolina,     3,     1,     1,     7,     2,     1,     2,     3,     5,     4,     1,    14,     4,     3,
Round 3 Game 6A: Notre Dame defeats Wisconsin,     3,     1,     1,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,
Round 3 Game 6B: Wisconsin defeats Notre Dame,     3,     1,     1,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,
Round 3 Game 7A: Virginia defeats Iowa State,     3,     1,     2,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,
Round 3 Game 7B: Iowa State defeats Virginia,     4,     1,     1,     8,     2,     1,     2,     2,     3,     4,     1,    13,     4,     2,
Round 3 Game 8A: Gonzaga defeats Syracuse,     3,     1,     1,     7,     2,     1,     2,     2,     2,     5,     1,    13,     4,     2,
Round 3 Game 8B: Syracuse defeats Gonzaga,     3,     1,     1,     7,     2,     1,     2,     2,     2,     4,     1,    13,     4,     2,

Worst Finish
