Probability of Winning
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,   23.6300,    7.4500,    0.0000,    0.0000,    8.9500,    0.0000,    4.3900,    0.2600,    0.2300,    6.5100,   40.6900,    0.5300,    3.9500,    0.7200,
Round 3 Game 1A: Kansas defeats Maryland,   24.8900,    7.5000,    0.0000,    0.0000,    9.6800,    0.0000,    3.2900,    0.3500,    0.4200,    9.2100,   37.0300,    0.1400,    3.9400,    0.8200,
Round 3 Game 1B: Maryland defeats Kansas,    7.7600,    7.0800,    0.0000,    0.0000,    9.6600,    0.0000,    4.6700,    0.0600,    0.2900,   20.0400,   44.0200,    0.0300,    2.5600,    0.8400,
Round 3 Game 2A: Buffalo defeats Villanova,   24.3400,    7.9100,    0.0000,    0.0000,    8.7500,    0.0000,    4.2100,    0.3000,    0.3600,    6.0900,   39.4400,    0.6700,    4.6900,    0.6000,
Round 3 Game 2B: Villanova defeats Buffalo,   23.9300,    7.6400,    0.0000,    0.0000,    8.5400,    0.0000,    3.6000,    0.3700,    0.3400,    6.5500,   41.6200,    0.4300,    3.7700,    0.5400,
Round 3 Game 3A: Oregon defeats Duke,   25.9300,    7.9100,    0.0000,    0.0000,    5.8600,    0.0000,    4.1500,    0.1700,    0.3600,    6.6500,   41.5500,    0.4300,    3.5600,    0.7100,
Round 3 Game 3B: Duke defeats Oregon,   30.4800,    8.5700,    0.0000,    0.0000,    6.4500,    0.0000,    2.5400,    0.1400,    0.0000,    8.0600,   37.8200,    0.0300,    3.2000,    0.2300,
Round 3 Game 4A: Texas A&M defeats Oklahoma,   24.6100,    7.6400,    0.0000,    0.0000,    8.2200,    0.0000,    3.9000,    0.3800,    0.3500,    6.3000,   40.7200,    0.4100,    3.9300,    0.7500,
Round 3 Game 4B: Oklahoma defeats Texas A&M,   27.4900,   10.2500,    0.0000,    0.0000,   11.6700,    0.0000,    0.4100,    0.0700,    0.3800,    5.9700,   38.7300,    0.1100,    1.7100,    0.3400,
Round 3 Game 5A: North Carolina defeats Indiana,   22.5300,    3.2200,    0.0000,    0.0000,    9.2500,    0.0000,    3.9400,    0.4000,    0.5500,    2.6700,   48.4600,    0.4800,    5.5400,    0.5400,
Round 3 Game 5B: Indiana defeats North Carolina,   24.1700,   15.1000,    0.0000,    0.0000,    8.3300,    0.0000,    4.9700,    0.4900,    0.5100,   14.5700,   22.5700,    0.3800,    4.9100,    0.2100,
Round 3 Game 6A: Stephen F. Austin defeats Xavier,   24.1800,    7.1400,    0.0000,    0.0000,    8.8600,    0.0000,    3.9300,    0.3000,    0.3500,    6.5400,   41.0800,    0.4800,    3.7900,    0.5900,
Round 3 Game 6B: Xavier defeats Stephen F. Austin,   24.3900,    8.7300,    0.0000,    0.0000,   10.0400,    0.0000,    5.0900,    0.5000,    0.3100,    6.9800,   35.3300,    0.4300,    4.5500,    0.8300,
Round 3 Game 7A: Virginia defeats Iowa State,   23.2000,    8.3900,    0.0000,    0.0000,    7.8800,    0.0000,    5.0200,    0.5000,    0.4200,    5.5200,   39.9000,    0.6800,    4.5500,    0.8200,
Round 3 Game 7B: Iowa State defeats Virginia,   26.1900,    7.9100,    0.0000,    0.0000,    7.8400,    0.0000,    3.9400,    0.4400,    0.3100,    7.6400,   34.7900,    0.4500,    4.7200,    2.3600,
Round 3 Game 8A: Utah defeats Syracuse,   23.7200,    7.5000,    0.0000,    0.0000,    8.6400,    0.0000,    4.2300,    0.3800,    0.3100,    6.3800,   40.8000,    0.4300,    3.9500,    0.8200,
Round 3 Game 8B: Syracuse defeats Utah,   23.2300,    5.9500,    0.0000,    0.0000,    8.8800,    0.0000,    4.3700,    0.4100,    0.3700,    6.9800,   41.6900,    0.4500,    4.2500,    0.6700,

Probability of Losing
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,    0.0000,    1.3600,    0.0000,   89.6700,    0.0000,    0.2700,    0.0000,    5.7400,    0.3000,    0.5800,    0.0000,    0.0000,    0.0500,    0.0900,
Round 3 Game 1A: Kansas defeats Maryland,    0.0000,    1.5700,    0.0000,   89.7900,    0.0000,    0.2800,    0.0000,    5.7000,    0.1800,    0.4900,    0.0000,    0.0000,    0.0400,    0.0900,
Round 3 Game 1B: Maryland defeats Kansas,    0.0000,    2.9400,    0.0000,   80.8400,    0.0000,    0.6100,    0.0000,   12.0600,    0.3800,    0.1200,    0.0000,    0.0000,    0.0700,    0.3100,
