Probability of Winning
,Matt's Bracket,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Ellie's Exciting Bracket,One Ball Two Holes,David's Dazzling Bracket,Terry's Great Trump Bracket,Amit's Awesome Bracket,Jake's Trueskill + MCTS,My Swag Bracket,Don's Dribbling Problem,My Optimal Bracket,JB's Majestic Bracket,Gregory's Groovy Bracket,
initial   ,   4.4,   3.5,   9.6,   1.0,   7.7,   4.0,   4.8,  17.4,   3.2,   3.4,  10.1,   1.3,   8.3,  17.8,
Round 1 Game 1: Duke defeats North Carolina-Wilmington,   4.5,   3.6,   9.8,   1.4,   7.1,   4.2,   5.2,  17.4,   2.3,   3.5,   8.9,   1.2,   8.9,  18.3,
Round 1 Game 2: Butler defeats Texas Tech,   4.0,   2.9,   9.2,   1.3,   7.6,   4.9,   4.8,  18.0,   2.5,   3.3,   9.2,   0.9,   9.7,  18.4,
Round 1 Game 3: Connecticut defeats Colorado,   3.1,   2.9,   9.6,   1.3,   7.4,   5.2,   5.3,  17.9,   2.6,   3.4,   8.7,   1.2,   8.8,  18.8,
Round 1 Game 4: Iowa State defeats Iona,   3.6,   3.6,   9.0,   1.1,   8.3,   5.8,   5.8,  16.4,   2.5,   3.4,   8.7,   1.4,   9.9,  17.1,
Round 1 Game 5: Yale defeats Baylor,   2.2,   2.3,   7.3,   0.2,   4.0,   7.1,   2.7,  21.5,   1.8,   5.0,  11.8,   1.0,   8.1,  22.1,
Round 1 Game 6: Virginia defeats Hampton,   2.2,   1.8,   7.0,   0.2,   4.2,   7.2,   2.5,  21.6,   1.7,   4.5,  12.4,   0.9,   7.4,  22.6,
Round 1 Game 7: Kansas defeats Austin Peay,   2.4,   1.8,   7.1,   0.3,   3.9,   7.4,   2.3,  22.2,   1.7,   4.6,  11.9,   1.1,   7.8,  22.4,
Round 1 Game 8: Arkansas-Little Rock defeats Purdue,   1.7,   1.1,   4.9,   0.0,   3.9,  14.7,   2.0,  22.2,   1.5,   5.6,   9.7,   0.9,   8.5,  20.5,
Round 1 Game 9: Miami (FL) defeats Buffalo,   1.9,   1.0,   4.8,   0.1,   3.9,  15.6,   2.1,  20.8,   1.5,   5.5,   8.6,   1.0,   8.3,  21.5,
Round 1 Game 10: Indiana defeats Chattanooga,   1.6,   1.2,   4.9,   0.0,   4.0,  14.9,   2.0,  21.9,   1.5,   5.7,   8.4,   0.9,   8.2,  21.7,
Round 1 Game 11: North Carolina defeats Florida Gulf Coast,   2.0,   1.0,   4.8,   0.1,   3.9,  15.1,   2.1,  20.5,   1.7,   6.0,   8.9,   0.8,   8.4,  21.3,
Round 1 Game 12: Utah defeats Fresno State,   1.7,   1.2,   5.1,   0.1,   3.3,  16.4,   2.0,  21.4,   1.8,   5.7,   6.7,   0.9,   8.8,  21.7,
Round 1 Game 13: Wichita State defeats Arizona,   0.5,   1.2,   7.8,   0.0,   3.8,  16.4,   1.0,  27.9,   0.9,   4.0,   3.1,   0.7,   5.7,  24.3,
Round 1 Game 14: Kentucky defeats Stony Brook,   0.6,   1.0,   8.5,   0.0,   3.7,  16.0,   0.9,  26.7,   0.7,   3.7,   2.9,   0.7,   6.5,  25.4,
Round 1 Game 15: Providence defeats Southern California,   0.5,   1.0,   8.3,   0.0,   3.2,  16.9,   0.9,  27.4,   0.7,   3.6,   2.9,   0.6,   6.1,  25.0,
Round 1 Game 16: Gonzaga defeats Seton Hall,   0.5,   1.1,   9.4,   0.0,   3.4,  11.8,   1.2,  30.9,   0.3,   2.3,   3.5,   0.6,   5.2,  27.3,
Round 1 Game 17: Syracuse defeats Dayton,   0.6,   0.8,   9.1,   0.0,   2.7,  12.9,   0.7,  31.2,   0.1,   2.3,   3.4,   0.6,   5.8,  27.1,
