Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    5.9500,    8.5700,    4.8100,    5.6100,    9.9600,    3.8500,    6.2100,   21.8000,   11.1400,    9.5900,    1.0800,
Round 1 Game 1: Duke defeats North Carolina-Wilmington,    5.8000,    8.2600,    5.2500,    6.0100,   10.6300,    3.2800,    5.1000,   18.5900,   11.6300,   13.0100,    1.0000,
Round 1 Game 2: Butler defeats Texas Tech,    5.4400,    7.2100,    5.3400,    5.3100,   10.4300,    2.8100,    6.5400,   17.5100,   16.2700,   11.1600,    0.8800,
Round 1 Game 3: Connecticut defeats Colorado,    4.5100,    8.5200,    6.0900,    5.2500,   11.1400,    3.8300,    8.2600,   10.7500,   18.8900,   10.3000,    1.1700,
Round 1 Game 4: Iowa State defeats Iona,    4.3600,    5.6900,    6.1200,    5.8600,   12.3800,    3.9900,    7.7100,    9.0700,   21.9200,   10.0100,    1.2100,
Round 1 Game 5: Yale defeats Baylor,    4.3400,    4.3000,    5.6900,    6.2500,   12.4200,    2.4600,    8.6000,   11.5100,   21.4600,   10.5400,    0.9900,
Round 1 Game 6: Virginia defeats Hampton,    4.7800,    4.0100,    6.1500,    6.1400,   17.0600,    1.9900,    7.6000,   11.8900,   18.7600,    9.9400,    1.4900,
Round 1 Game 7: Kansas defeats Austin Peay,    5.4700,    3.8400,    7.1100,    6.0000,   16.1400,    2.3500,    7.3000,   10.4400,   19.5100,   10.1700,    1.5200,
Round 1 Game 8: Arkansas-Little Rock defeats Purdue,    5.0800,    2.7400,    6.9000,    6.3300,   16.2200,    1.8000,    5.9800,   13.6700,   24.4400,    4.6900,    1.6600,
Round 1 Game 9: Miami (FL) defeats Buffalo,    4.3700,    3.5700,    4.6200,    7.4700,   17.1700,    2.4200,    3.6200,    9.3100,   29.8100,    4.8200,    1.9300,
Round 1 Game 10: Indiana defeats Chattanooga,    4.9500,    3.7500,    3.1600,    7.2700,   16.2000,    3.0400,    4.1800,   10.1000,   30.0300,    4.8000,    2.2200,
Round 1 Game 11: North Carolina defeats Florida Gulf Coast,    6.2500,    4.1400,    4.1600,    7.5900,   16.9100,    3.0300,    4.4700,    9.9800,   26.9000,    4.8600,    1.9400,
Round 1 Game 12: Utah defeats Fresno State,    7.2500,    3.7000,    3.8000,    8.5500,   16.8000,    3.7300,    3.9400,   10.2000,   25.0300,    5.5200,    1.4400,
Round 1 Game 13: Wichita State defeats Arizona,    3.6500,    4.9600,    6.1000,    7.8600,   15.4700,    4.9400,    2.7000,   11.8600,   26.5500,    4.6800,    1.1500,
Round 1 Game 14: Kentucky defeats Stony Brook,    2.7100,    4.3300,    7.3800,    6.9400,   16.0300,    4.1600,    2.6100,   10.3800,   30.4800,    4.7700,    0.9800,
Round 1 Game 15: Providence defeats Southern California,    2.4700,    5.2300,    7.8000,    6.3300,   17.4600,    3.5400,    1.9700,   11.3600,   28.5200,    4.4000,    1.6600,
Round 1 Game 16: Gonzaga defeats Seton Hall,    2.5100,    6.1400,    8.4700,    4.4600,   16.4900,    3.5700,    2.3500,   11.8200,   29.9200,    2.7800,    1.8100,
Round 1 Game 17: Syracuse defeats Dayton,    1.8200,    7.3500,    9.3000,    3.4000,   15.7100,    4.5500,    1.9100,    8.3700,   33.2700,    2.5200,    2.2700,
Round 1 Game 18: Villanova defeats North Carolina-Asheville,    1.6400,    6.3000,   10.2300,    3.8000,   20.1600,    4.3200,    1.5600,    7.2300,   31.0000,    2.6300,    2.3900,
Round 1 Game 19: Virginia Commonwealth defeats Oregon State,    1.6300,    6.9600,   10.1100,    3.2800,   21.4100,    3.2400,    2.0000,    5.2300,   32.4900,    1.9400,    2.9300,
Round 1 Game 20: Hawaii defeats California,    2.2200,    5.8600,    9.8900,    2.6800,   23.5000,    2.9200,    2.0300,    5.6700,   32.6400,    1.4100,    2.4900,
Round 1 Game 21: Middle Tennessee defeats Michigan State,    1.8700,    6.0900,   10.6000,    2.5800,   23.3600,    2.8000,    1.9400,    5.7000,   32.0400,    1.6800,    2.4200,
Round 1 Game 22: Iowa defeats Temple,    2.3900,    7.9300,   10.7500,    2.6200,   25.4100,    2.9700,    2.0600,    3.6000,   28.8300,    1.7100,    2.8700,
Round 1 Game 23: Oklahoma defeats Cal State Bakersfield,    2.3200,    7.3500,   11.1100,    2.8000,   26.9100,    3.5500,    2.5000,    3.3800,   26.0500,    2.0300,    2.7300,
Round 1 Game 24: Maryland defeats South Dakota State,    2.0500,    6.6100,   11.9200,    2.4100,   27.4200,    3.2300,    2.5500,    3.2600,   26.1700,    1.5700,    3.2100,
Round 1 Game 25: Wisconsin defeats Pittsburgh,    1.6900,    7.6800,   14.5800,    2.8200,   24.7800,    5.7700,    3.3100,    2.8000,   24.3600,    1.8900,    1.3100,
Round 1 Game 26: Stephen F. Austin defeats West Virginia,    1.7400,   12.3000,   14.8400,    2.7400,   23.5800,    5.3200,    3.2800,    0.3100,   22.4700,    1.9700,    1.3600,
Round 1 Game 27: Texas A&M defeats Green Bay,    1.7500,   13.7800,   14.9000,    2.5700,   23.2700,    5.4400,    1.2400,    0.5200,   23.4500,    1.7100,    1.5600,
Round 1 Game 28: Oregon defeats Holy Cross,    2.0800,   14.8900,   12.5700,    5.1700,   22.6600,    4.7900,    1.6700,    0.5600,   20.7400,    2.3500,    2.0700,
Round 1 Game 29: Xavier defeats Weber State,    2.1200,   16.6500,   12.4600,    5.2000,   22.5500,    4.5300,    2.3900,    0.5200,   19.6200,    2.0100,    1.9700,
Round 1 Game 30: Northern Iowa defeats Texas,    1.8900,   19.1500,   15.8500,    4.8100,   21.4200,    4.4200,    1.0200,    0.5700,   17.2400,    1.2300,    1.2900,
Round 1 Game 31: Notre Dame defeats Michigan,    1.8400,   21.6800,   12.2800,    3.8800,   22.1800,    4.8900,    1.4300,    0.3000,   18.2400,    1.6900,    1.0700,
Round 1 Game 32: Saint Joseph's defeats Cincinnati,    2.0200,   25.9500,   10.1000,    4.0500,   24.7900,    5.5500,    1.0800,    0.3400,   12.7000,    2.5900,    0.7900,
Round 2 Game 1: Miami (FL) defeats Wichita State,    2.4900,   30.0900,    5.7400,    3.6200,   22.8100,    6.8900,    0.8400,    0.1900,   14.4000,    2.6100,    0.5700,
Round 2 Game 2: Duke defeats Yale,    2.3400,   21.0100,    7.1400,    4.2500,   24.3900,    3.2500,    0.6800,    0.0900,   20.1400,    5.5600,    0.6800,
Round 2 Game 3: Indiana defeats Kentucky,    3.2200,   22.8500,    6.2900,    4.1700,   23.6800,    5.5700,    1.4300,    0.0800,   15.7300,    6.0300,    0.2100,
Round 2 Game 4: Iowa State defeats Arkansas-Little Rock,    2.8400,   19.7500,    4.7500,    5.3800,   28.1800,    4.4400,    1.1700,    0.0500,   18.6500,    5.3600,    0.1900,
Round 2 Game 5: Virginia defeats Butler,    3.6900,   23.8700,    4.9700,    5.2300,   39.3500,    4.2800,    0.2000,    0.1300,    3.5400,    5.3500,    0.4600,
Round 2 Game 6: Kansas defeats Connecticut,    5.6400,   22.7100,    6.4000,    5.4900,   36.4300,    4.3200,    0.1400,    0.0000,    3.5600,    6.1600,    0.8100,
Round 2 Game 7: Gonzaga defeats Utah,    3.8000,   28.6100,    7.6900,    3.7600,   33.0700,    1.9700,    0.4600,    0.0000,    4.9100,    3.6500,    1.4400,
Round 2 Game 8: North Carolina defeats Providence,    5.8900,   27.9400,   12.2400,    3.7200,   30.9400,    2.1700,    0.3500,    0.0000,    3.1600,    3.5200,    1.1600,
Round 2 Game 9: Villanova defeats Iowa,    4.7700,   14.7500,   13.3400,    5.0000,   40.0800,    2.4500,    0.3800,    0.0000,    5.5100,    4.4400,    1.1300,
