Probability of Winning
,Gregory's Groovy Bracket,Terry's Great Trump Bracket,Don's Dribbling Problem,Amit's Awesome Bracket,Raj arshi's Swag Bracket,One Ball Two Holes,Matt's Bracket,Dunk's SpaceX Bracket,My Swag Bracket,JB's Majestic Bracket,My Optimal Bracket,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,
initial   ,    2.8700,    0.0400,   31.6700,   30.3700,   10.5400,    2.7000,    0.1300,    0.3000,    0.2100,    1.1200,    2.2600,    0.0500,    2.5500,   11.9300,
Round 1 Game 1: Duke defeats North Carolina-Wilmington,    4.6400,    0.0500,   22.8400,   34.1300,   13.6200,    3.1500,    0.2200,    0.4300,    0.4600,    1.7700,    2.8200,    0.0800,    3.6000,    8.1100,
Round 1 Game 2: Butler defeats Texas Tech,    4.6700,    0.0100,   24.0100,   35.4400,   11.7300,    3.3300,    0.2300,    0.5000,    0.3500,    1.6900,    2.2400,    0.0800,    3.7400,    8.3600,
Round 1 Game 3: Connecticut defeats Colorado,    4.3700,    0.0500,   23.8700,   35.1400,   12.5700,    3.4600,    0.1500,    0.5000,    0.3100,    1.5800,    2.2500,    0.1400,    3.8300,    8.6400,
Round 1 Game 4: Iowa State defeats Iona,    3.7300,    0.0800,   19.9800,   32.7100,   11.1000,    4.9900,    0.1400,    0.6200,    0.3600,    2.3200,    2.7100,    0.0200,    5.8100,   11.6800,
Round 1 Game 5: Yale defeats Baylor,    4.0600,    0.0100,   25.8900,   42.3400,    6.3900,    1.2700,    0.0600,    0.3000,    0.4400,    1.2100,    1.7700,    0.0000,    6.2600,    6.5000,
Round 1 Game 6: Virginia defeats Hampton,    4.5300,    0.0000,   25.5800,   42.1400,    6.1100,    1.5300,    0.0600,    0.3400,    0.5000,    1.2100,    2.0800,    0.0000,    6.0000,    6.4000,
Round 1 Game 7: Kansas defeats Austin Peay,    4.8200,    0.0200,   25.1200,   41.7500,    6.3900,    1.6600,    0.0700,    0.2800,    0.5200,    1.3100,    2.1800,    0.0000,    6.1800,    6.4900,
Round 1 Game 8: Arkansas-Little Rock defeats Purdue,    4.4500,    0.0100,   24.2700,   41.0400,    5.3900,    1.6500,    0.0600,    0.1400,    0.3600,    1.3300,    1.9700,    0.0000,    9.7500,    6.1300,
Round 1 Game 9: Miami (FL) defeats Buffalo,    5.8200,    0.0100,   12.4300,   45.1000,    6.4100,    2.0800,    0.0700,    0.2100,    0.5400,    1.7100,    2.0800,    0.0000,   11.7700,    8.0500,
Round 1 Game 10: Indiana defeats Chattanooga,    5.6300,    0.0000,   12.0700,   44.3300,    6.6000,    2.3500,    0.1000,    0.2200,    0.4900,    1.6400,    2.1200,    0.0000,   11.6100,    9.2000,
Round 1 Game 11: North Carolina defeats Florida Gulf Coast,    5.6900,    0.0300,   11.5600,   46.6700,    5.8000,    1.8100,    0.0600,    0.2300,    0.8200,    1.8000,    2.1000,    0.0000,   11.6800,    8.0900,
Round 1 Game 12: Utah defeats Fresno State,    7.0800,    0.0200,    4.7400,   49.1100,    6.9100,    0.7600,    0.1000,    0.2600,    0.8800,    2.1900,    2.0900,    0.0000,   13.2400,    8.8900,
Round 1 Game 13: Wichita State defeats Arizona,    8.1300,    0.0000,    1.3900,   55.6900,    9.0300,    0.8900,    0.0100,    0.2800,    0.4100,    1.0600,    1.5400,    0.0000,   13.2700,    5.4300,
Round 1 Game 14: Kentucky defeats Stony Brook,    8.3000,    0.0100,    1.1600,   56.7700,   11.2800,    1.1600,    0.0100,    0.2700,    0.4400,    1.6200,    1.5000,    0.0000,   13.7200,    1.1600,
Round 1 Game 15: Providence defeats Southern California,    8.9200,    0.0000,    1.0900,   56.2400,   11.2100,    0.8400,    0.0100,    0.2300,    0.5500,    1.3700,    1.3500,    0.0000,   14.3200,    0.9200,
Round 1 Game 16: Gonzaga defeats Seton Hall,    9.9200,    0.0000,    1.6500,   62.2900,   12.5300,    1.1000,    0.0000,    0.3300,    0.0600,    1.1500,    1.0000,    0.0000,    7.2500,    0.1600,
Round 1 Game 17: Syracuse defeats Dayton,   10.2000,    0.0000,    1.6000,   62.2600,   11.5500,    0.8200,    0.0500,    0.2100,    0.1100,    1.5500,    0.8800,    0.0000,    8.0800,    0.2500,
Round 1 Game 18: Villanova defeats North Carolina-Asheville,    9.8000,    0.0000,    1.7900,   62.1000,   12.7100,    0.8800,    0.0300,    0.2000,    0.2300,    1.3300,    0.8700,    0.0000,    7.4000,    0.1200,
Round 1 Game 19: Virginia Commonwealth defeats Oregon State,   10.1100,    0.0100,    1.6900,   62.4200,   12.4500,    0.6800,    0.0000,    0.1600,    0.0800,    1.5000,    0.5900,    0.0000,    7.7700,    0.1100,
