Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
e8.truth  ,   42.5400,    0.0000,    9.4000,    0.8700,   44.3300,    1.0100,    0.0000,    0.0000,    0.0000,    0.0000,    2.8600,
Round 4 Game 1A: Kansas defeats Villanova,   57.7400,    0.0000,   12.0900,    1.1000,   25.1700,    1.1800,    0.0000,    0.0000,    0.0000,    0.0000,    3.9000,
Round 4 Game 1B: Villanova defeats Kansas,   16.0200,    0.0000,    5.1400,    0.3000,   78.0500,    0.4900,    0.0000,    0.0000,    0.0000,    0.0000,    0.4900,
Round 4 Game 2A: Oregon defeats Oklahoma,   41.4400,    0.0000,    8.9600,    1.9000,   45.9600,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    1.7400,
Round 4 Game 2B: Oklahoma defeats Oregon,   42.8700,    0.0000,    9.4000,    0.0000,   44.4600,    1.5200,    0.0000,    0.0000,    0.0000,    0.0000,    3.2700,
Round 4 Game 3A: North Carolina defeats Notre Dame,   45.9700,    0.0000,   11.4400,    0.3500,   40.8400,    0.5000,    0.0000,    0.0000,    0.0000,    0.0000,    1.4000,
Round 4 Game 3B: Notre Dame defeats North Carolina,   26.6700,    0.0000,    0.0000,    3.5400,   61.1100,    2.6200,    0.0000,    0.0000,    0.0000,    0.0000,    8.6800,
Round 4 Game 4A: Virginia defeats Syracuse,   49.9100,    0.0000,    0.0000,    0.3500,   49.7400,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 4 Game 4B: Syracuse defeats Virginia,    0.0000,    0.0000,   55.6100,    3.5000,   24.6700,    5.3600,    0.0000,    0.0000,    0.0000,    0.0000,   16.2200,

Probability of Losing
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
e8.truth  ,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   69.0300,   30.9700,    0.0000,    0.0000,
Round 4 Game 1A: Kansas defeats Villanova,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0000,    0.0000,    0.0000,    0.0000,
Round 4 Game 1B: Villanova defeats Kansas,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   17.1800,   82.8200,    0.0000,    0.0000,
Round 4 Game 2A: Oregon defeats Oklahoma,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   68.2500,   31.7500,    0.0000,    0.0000,
Round 4 Game 2B: Oklahoma defeats Oregon,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   68.6500,   31.3500,    0.0000,    0.0000,
Round 4 Game 3A: North Carolina defeats Notre Dame,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   69.0900,   30.9100,    0.0000,    0.0000,
Round 4 Game 3B: Notre Dame defeats North Carolina,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   69.3000,   30.7000,    0.0000,    0.0000,
Round 4 Game 4A: Virginia defeats Syracuse,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   62.4600,   37.5400,    0.0000,    0.0000,
Round 4 Game 4B: Syracuse defeats Virginia,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0000,    0.0000,    0.0000,    0.0000,

Best Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
e8.truth  ,     1,     7,     1,     1,     1,     1,     4,    10,     9,     5,     1,
Round 4 Game 1A: Kansas defeats Villanova,     1,     7,     1,     1,     1,     1,     4,    11,     9,     5,     1,
Round 4 Game 1B: Villanova defeats Kansas,     1,     8,     1,     1,     1,     1,     6,    10,    10,     9,     1,
Round 4 Game 2A: Oregon defeats Oklahoma,     1,     7,     1,     1,     1,     2,     4,    10,     9,     5,     1,
Round 4 Game 2B: Oklahoma defeats Oregon,     1,     7,     1,     6,     1,     1,     4,    10,    10,     5,     1,
Round 4 Game 3A: North Carolina defeats Notre Dame,     1,     7,     1,     1,     1,     1,     4,    10,     9,     5,     1,
Round 4 Game 3B: Notre Dame defeats North Carolina,     1,     7,     2,     1,     1,     1,     4,    10,     9,     5,     1,
Round 4 Game 4A: Virginia defeats Syracuse,     1,     7,     2,     1,     1,     2,     4,    10,    10,     5,     2,
Round 4 Game 4B: Syracuse defeats Virginia,     2,     7,     1,     1,     1,     1,     4,    11,     9,     5,     1,

Worst Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
e8.truth  ,     6,     9,     6,     8,    10,     7,     7,    11,    11,     9,     6,
Round 4 Game 1A: Kansas defeats Villanova,     5,     9,     6,     8,    10,     7,     7,    11,    10,     9,     5,
Round 4 Game 1B: Villanova defeats Kansas,     6,     8,     6,     7,     6,     6,     7,    11,    11,     9,     6,
Round 4 Game 2A: Oregon defeats Oklahoma,     6,     9,     6,     6,    10,     7,     7,    11,    11,     9,     6,
Round 4 Game 2B: Oklahoma defeats Oregon,     5,     9,     5,     8,     9,     6,     6,    11,    11,     9,     5,
Round 4 Game 3A: North Carolina defeats Notre Dame,     6,     9,     6,     8,    10,     7,     7,    11,    11,     9,     6,
Round 4 Game 3B: Notre Dame defeats North Carolina,     6,     9,     6,     8,    10,     7,     7,    11,    11,     9,     5,
Round 4 Game 4A: Virginia defeats Syracuse,     3,     9,     6,     8,     9,     7,     7,    11,    11,     9,     6,
Round 4 Game 4B: Syracuse defeats Virginia,     6,     8,     5,     7,    10,     7,     7,    11,    10,     9,     6,

Min Score
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
e8.truth  ,    60,    55,    63,    63,    64,    66,    58,    43,    47,    53,    66,
Round 4 Game 1A: Kansas defeats Villanova,    68,    63,    71,    71,    64,    74,    66,    43,    55,    61,    74,
Round 4 Game 1B: Villanova defeats Kansas,    60,    55,    63,    63,    72,    66,    58,    43,    47,    53,    66,
Round 4 Game 2A: Oregon defeats Oklahoma,    60,    55,    63,    71,    64,    66,    58,    43,    47,    53,    66,
Round 4 Game 2B: Oklahoma defeats Oregon,    68,    55,    71,    63,    72,    74,    66,    43,    47,    53,    74,
Round 4 Game 3A: North Carolina defeats Notre Dame,    68,    63,    71,    71,    64,    74,    66,    43,    47,    61,    74,
Round 4 Game 3B: Notre Dame defeats North Carolina,    60,    55,    63,    63,    64,    66,    58,    43,    47,    53,    66,
Round 4 Game 4A: Virginia defeats Syracuse,    68,    55,    63,    63,    72,    66,    58,    51,    47,    53,    66,
Round 4 Game 4B: Syracuse defeats Virginia,    60,    55,    63,    63,    64,    66,    58,    43,    47,    53,    66,

Max Score
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
e8.truth  ,   156,    87,   151,   103,   152,   106,   130,    51,    71,   117,   138,
Round 4 Game 1A: Kansas defeats Villanova,   156,    87,   151,   103,   128,   106,   130,    51,    71,   117,   138,
Round 4 Game 1B: Villanova defeats Kansas,   100,    63,    95,    79,   152,    82,    74,    51,    47,    61,    82,
Round 4 Game 2A: Oregon defeats Oklahoma,   148,    87,   143,   103,   144,    98,   122,    51,    71,   117,   130,
Round 4 Game 2B: Oklahoma defeats Oregon,   156,    87,   151,    95,   152,   106,   130,    51,    71,   117,   138,
Round 4 Game 3A: North Carolina defeats Notre Dame,   156,    87,   151,   103,   152,   106,   130,    51,    71,   117,   138,
Round 4 Game 3B: Notre Dame defeats North Carolina,   132,    79,   127,    95,   152,    98,   122,    51,    71,   109,   130,
Round 4 Game 4A: Virginia defeats Syracuse,   156,    87,   151,   103,   152,   106,   130,    51,    71,   117,   138,
Round 4 Game 4B: Syracuse defeats Virginia,   148,    87,   151,   103,    96,   106,   130,    43,    71,   117,   138,
