Probability of Winning
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
e8.truth  ,    0.0000,   12.9900,    0.0000,    0.0000,    0.0000,   27.0400,    0.0000,    0.0000,    0.0000,    0.0000,   59.9700,    0.0000,    0.0000,    0.0000,
Round 4 Game 1A: Kansas defeats Villanova,    0.0000,   10.9400,    0.0000,    0.0000,    0.0000,   40.3700,    0.0000,    0.0000,    0.0000,    0.0000,   48.6900,    0.0000,    0.0000,    0.0000,
Round 4 Game 1B: Villanova defeats Kansas,    0.0000,   17.2400,    0.0000,    0.0000,    0.0000,    3.1500,    0.0000,    0.0000,    0.0000,    0.0000,   79.6100,    0.0000,    0.0000,    0.0000,
Round 4 Game 2A: Oregon defeats Oklahoma,    0.0000,    2.5800,    0.0000,    0.0000,    0.0000,   28.7300,    0.0000,    0.0000,    0.0000,    0.0000,   68.6900,    0.0000,    0.0000,    0.0000,
Round 4 Game 2B: Oklahoma defeats Oregon,    0.0000,   21.5300,    0.0000,    0.0000,    0.0000,   25.4900,    0.0000,    0.0000,    0.0000,    0.0000,   52.9800,    0.0000,    0.0000,    0.0000,
Round 4 Game 3A: North Carolina defeats Notre Dame,    0.0000,   10.2000,    0.0000,    0.0000,    0.0000,   26.3000,    0.0000,    0.0000,    0.0000,    0.0000,   63.5000,    0.0000,    0.0000,    0.0000,
Round 4 Game 3B: Notre Dame defeats North Carolina,    0.0000,   27.3700,    0.0000,    0.0000,    0.0000,   30.2800,    0.0000,    0.0000,    0.0000,    0.0000,   42.3500,    0.0000,    0.0000,    0.0000,
Round 4 Game 4A: Virginia defeats Syracuse,    0.0000,   11.8600,    0.0000,    0.0000,    0.0000,   24.5200,    0.0000,    0.0000,    0.0000,    0.0000,   63.6200,    0.0000,    0.0000,    0.0000,
Round 4 Game 4B: Syracuse defeats Virginia,    0.0000,   20.6100,    0.0000,    0.0000,    0.0000,   38.2100,    0.0000,    0.0000,    0.0000,    0.0000,   41.1800,    0.0000,    0.0000,    0.0000,

Probability of Losing
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
