Probability of Winning
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,    4.9600,   10.7300,    3.4300,    1.4500,    8.1500,   18.0700,    9.3000,    3.9300,    5.4600,    3.5300,   18.7800,    1.2200,    9.9000,    4.6200,
Round 1 Game 1: Duke defeats North Carolina-Wilmington,    4.9800,    9.3400,    3.5400,    1.5100,    7.9900,   19.6900,    9.5600,    3.5400,    5.5700,    2.7300,   18.4000,    1.3700,   10.3200,    4.9400,
Round 1 Game 2: Butler defeats Texas Tech,    5.6000,    9.4700,    3.2400,    1.7800,    8.4500,   19.7300,    9.3300,    3.9300,    5.2800,    3.0100,   17.9900,    1.2300,   10.2900,    3.8800,
Round 1 Game 3: Connecticut defeats Colorado,    5.6600,   10.2500,    3.4800,    1.6000,    7.9000,   19.4600,    9.4400,    3.5600,    5.8400,    3.0100,   18.3200,    1.2400,   10.4200,    3.4700,
Round 1 Game 4: Iowa State defeats Iona,    6.0800,    8.9300,    3.5300,    1.0800,    8.9500,   18.8000,    9.9000,    3.5200,    6.6100,    3.4900,   17.9100,    1.4100,    9.2400,    4.0900,
Round 1 Game 5: Yale defeats Baylor,    7.8600,   13.3300,    2.1500,    0.1900,    4.7700,   22.9600,    8.2600,    5.2600,    2.8400,    2.1800,   22.6500,    1.1000,    7.4400,    2.4200,
Round 1 Game 6: Virginia defeats Hampton,    7.7100,   13.2500,    2.4400,    0.2100,    4.5900,   23.8700,    7.9200,    5.2500,    2.9200,    1.8800,   22.5500,    0.9300,    7.5500,    2.2900,
Round 1 Game 7: Kansas defeats Austin Peay,    7.9200,   13.3300,    2.3600,    0.2100,    4.3000,   22.9800,    8.4000,    5.3800,    2.6900,    2.1200,   22.6800,    1.0800,    7.5200,    2.5900,
Round 1 Game 8: Arkansas-Little Rock defeats Purdue,   15.4000,   10.9500,    1.0500,    0.0300,    4.2700,   22.5000,    9.1700,    5.7800,    2.1100,    1.9500,   21.3700,    0.9000,    5.5600,    2.3000,
Round 1 Game 9: Miami (FL) defeats Buffalo,   16.3900,    8.6900,    1.1300,    0.0400,    4.2600,   22.4900,    8.9600,    6.1600,    2.5800,    1.8300,   21.4300,    1.1000,    5.5200,    2.3300,
Round 1 Game 10: Indiana defeats Chattanooga,   16.3800,    9.1700,    1.2500,    0.1200,    4.3400,   21.1500,    8.7200,    5.7500,    2.5600,    1.9200,   22.4100,    1.1200,    6.0800,    2.0400,
Round 1 Game 11: North Carolina defeats Florida Gulf Coast,   16.2700,    9.0400,    1.2000,    0.0700,    4.0800,   22.1300,    9.0300,    6.1100,    2.2900,    1.7500,   22.5600,    0.9200,    5.4900,    2.2700,
