Probability of Winning
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
sweet16.truth,   34.9100,    1.5200,    0.0000,    0.0000,    7.0500,    0.0000,    1.9600,    0.0000,    0.2600,    3.6200,   49.9700,    0.0000,    1.0500,    1.6400,
Round 3 Game 1A: Kansas defeats Maryland,   41.0800,    1.5900,    0.0000,    0.0000,    6.9200,    0.0000,    1.7700,    0.0000,    0.3000,    0.0000,   47.5500,    0.0000,    1.3400,    1.3600,
Round 3 Game 1B: Maryland defeats Kansas,   14.4300,    1.1600,    0.0000,    0.0000,    6.3000,    0.0000,    2.4600,    0.0000,    0.1000,   14.6100,   61.2900,    0.0000,    0.0000,    2.4900,
Round 3 Game 2A: Miami (FL) defeats Villanova,   34.8900,    1.7600,    0.0000,    0.0000,    6.7300,    0.0000,    0.9700,    0.0000,    0.0000,    4.2600,   51.9600,    0.0000,    1.2700,    3.6600,
Round 3 Game 2B: Villanova defeats Miami (FL),   34.4300,    1.7800,    0.0000,    0.0000,    7.0400,    0.0000,    2.2600,    0.0000,    0.4900,    2.9400,   49.9100,    0.0000,    0.8600,    0.6000,
Round 3 Game 3A: Oregon defeats Duke,   22.3600,    0.0000,    0.0000,    0.0000,   10.2400,    0.0000,    3.7300,    0.0000,    0.5000,    1.9500,   57.4800,    0.0000,    1.7800,    3.2200,
Round 3 Game 3B: Duke defeats Oregon,   47.8100,    3.4400,    0.0000,    0.0000,    3.3800,    0.0000,    0.0000,    0.0000,    0.0000,    4.9200,   43.6900,    0.0000,    0.0000,    0.0000,
Round 3 Game 4A: Texas A&M defeats Oklahoma,   36.4600,    0.0000,    0.0000,    0.0000,    0.3100,    0.0000,    5.2400,    0.0000,    0.3400,    2.5600,   51.4700,    0.0000,    2.7500,    3.5000,
Round 3 Game 4B: Oklahoma defeats Texas A&M,   33.3200,    2.6100,    0.0000,    0.0000,   11.3500,    0.0000,    0.0000,    0.0000,    0.1900,    4.0200,   49.4700,    0.0000,    0.0000,    0.5200,
Round 3 Game 5A: North Carolina defeats Indiana,   31.7200,    1.0000,    0.0000,    0.0000,    5.7600,    0.0000,    1.6200,    0.0000,    0.1700,    1.6800,   57.4300,    0.0000,    0.3900,    1.8900,
Round 3 Game 5B: Indiana defeats North Carolina,   38.7300,    3.1700,    0.0000,    0.0000,   10.4200,    0.0000,    3.6600,    0.0000,    0.5200,    9.2100,   33.6000,    0.0000,    2.3800,    1.1600,
Round 3 Game 6A: Notre Dame defeats Wisconsin,   34.4000,    1.5900,    0.0000,    0.0000,    6.6300,    0.0000,    1.9100,    0.0000,    0.3100,    3.0500,   51.7300,    0.0000,    0.9700,    1.6900,
Round 3 Game 6B: Wisconsin defeats Notre Dame,   34.5700,    1.5000,    0.0000,    0.0000,    7.2400,    0.0000,    1.9300,    0.0000,    0.3900,    3.6300,   50.3300,    0.0000,    0.8500,    1.7200,
Round 3 Game 7A: Virginia defeats Iowa State,   32.2700,    1.8200,    0.0000,    0.0000,    7.1400,    0.0000,    1.6300,    0.0000,    0.0000,    2.6100,   56.0400,    0.0000,    0.9000,    0.0000,
Round 3 Game 7B: Iowa State defeats Virginia,   40.5800,    1.5500,    0.0000,    0.0000,    7.2900,    0.0000,    2.8000,    0.0000,    1.0700,    4.8200,   36.4000,    0.0000,    1.2900,    5.7400,
Round 3 Game 8A: Gonzaga defeats Syracuse,   28.9500,    1.8500,    0.0000,    0.0000,    6.2900,    0.0000,    1.3000,    0.0000,    0.2600,    3.1900,   57.1100,    0.0000,    1.0200,    0.7900,
Round 3 Game 8B: Syracuse defeats Gonzaga,   41.6500,    1.5900,    0.0000,    0.0000,    9.1700,    0.0000,    2.9800,    0.0000,    0.3200,    3.7200,   41.0000,    0.0000,    0.9800,    2.9800,

Probability of Losing
,Gregory's Groovy Bracket,JB's Majestic Bracket,Terry's Great Trump Bracket,My Optimal Bracket,Don's Dribbling Problem,Ellie's Exciting Bracket,David's Dazzling Bracket,Jake's Trueskill + MCTS,Dunk's SpaceX Bracket,Raj arshi's Swag Bracket,Amit's Awesome Bracket,Matt's Bracket,One Ball Two Holes,My Swag Bracket,
