Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,   21.4900,    2.3900,   25.5600,    2.0700,   41.1500,    1.9300,    0.0000,    0.0000,    1.0400,    1.8900,    4.3300,
Round 3 Game 1: Villanova defeats Miami (FL),   11.5400,    1.2800,   29.3300,    1.9100,   48.7700,    1.6500,    0.0000,    0.0000,    0.4400,    1.8700,    3.9700,
Round 3 Game 2: Oklahoma defeats Texas A&M,   11.5700,    0.0000,   29.8000,    2.0000,   49.2700,    2.5300,    0.0000,    0.0000,    0.0000,    1.4800,    4.1200,
Round 3 Game 3: Kansas defeats Maryland,   13.7600,    0.0000,   33.5400,    1.6900,   42.2800,    2.5100,    0.0000,    0.0000,    0.0000,    1.8600,    5.3200,
Round 3 Game 4: Oregon defeats Duke,   26.2700,    0.0000,   16.6700,    3.3200,   41.8500,    4.2100,    0.0000,    0.0000,    0.0000,    0.0000,    9.0000,

Probability of Losing
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    0.1300,    0.9900,    0.0000,    0.0000,    0.1300,    0.0000,    4.7100,   80.1900,   12.7300,    7.0200,    0.0000,
Round 3 Game 1: Villanova defeats Miami (FL),    0.2200,    1.3100,    0.0000,    0.0000,    0.0000,    0.0000,    4.0700,   79.8000,   16.6000,    5.2600,    0.0000,
Round 3 Game 2: Oklahoma defeats Texas A&M,    0.0000,    2.5100,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   86.0800,   22.3600,    0.0000,    0.0000,
Round 3 Game 3: Kansas defeats Maryland,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   91.8000,   11.2100,    0.0000,    0.0000,
Round 3 Game 4: Oregon defeats Duke,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   84.3300,   21.0200,    0.0000,    0.0000,

Best Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,     1,     1,     1,     1,     1,     1,     3,     2,     1,     1,     1,
Round 3 Game 1: Villanova defeats Miami (FL),     1,     1,     1,     1,     1,     1,     3,     2,     1,     1,     1,
Round 3 Game 2: Oklahoma defeats Texas A&M,     1,     7,     1,     1,     1,     1,     3,     8,     5,     1,     1,
Round 3 Game 3: Kansas defeats Maryland,     1,     7,     1,     1,     1,     1,     3,    10,     5,     1,     1,
Round 3 Game 4: Oregon defeats Duke,     1,     7,     1,     1,     1,     1,     3,    10,     9,     5,     1,

Worst Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    11,    11,     9,    10,    11,     9,    11,    11,    11,    11,     9,
Round 3 Game 1: Villanova defeats Miami (FL),    11,    11,     9,    10,    10,     9,    11,    11,    11,    11,     8,
Round 3 Game 2: Oklahoma defeats Texas A&M,     9,    11,     6,     9,    10,     7,     9,    11,    11,    10,     6,
Round 3 Game 3: Kansas defeats Maryland,     9,    10,     6,     9,    10,     7,     9,    11,    11,     9,     6,
Round 3 Game 4: Oregon defeats Duke,     7,     9,     6,     8,    10,     7,     7,    11,    11,     9,     6,

Min Score
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    40,    43,    43,    39,    44,    46,    38,    31,    43,    37,    42,
Round 3 Game 1: Villanova defeats Miami (FL),    40,    43,    47,    43,    48,    50,    42,    31,    43,    41,    46,
Round 3 Game 2: Oklahoma defeats Texas A&M,    44,    43,    51,    47,    52,    54,    46,    31,    43,    45,    50,
Round 3 Game 3: Kansas defeats Maryland,    48,    47,    55,    51,    56,    58,    50,    31,    47,    49,    54,
Round 3 Game 4: Oregon defeats Duke,    52,    51,    55,    55,    56,    62,    54,    35,    47,    49,    58,

Max Score
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,   156,   103,   155,   103,   156,   106,   130,    63,    91,   129,   138,
Round 3 Game 1: Villanova defeats Miami (FL),   156,    99,   155,   103,   156,   106,   130,    63,    87,   129,   138,
Round 3 Game 2: Oklahoma defeats Texas A&M,   156,    87,   155,   103,   156,   106,   130,    51,    75,   129,   138,
Round 3 Game 3: Kansas defeats Maryland,   156,    87,   155,   103,   156,   106,   130,    51,    75,   129,   138,
Round 3 Game 4: Oregon defeats Duke,   156,    87,   151,   103,   152,   106,   130,    51,    71,   117,   138,
