Probability of Winning
,David,Don,Duncan,Ellie,Drew,Greg,JB,Mark,Terry,Jake,Amit,Nick,Raj,matt,
initial   ,    0.0000,   25.6200,    0.0000,    0.0000,    0.0000,   19.2700,    0.0000,    0.0000,    0.0000,    0.0000,   55.1100,    0.0000,    0.0000,    0.0000,
Round 5 Game 1: Villanova defeats Oklahoma,    0.0000,   13.2600,    0.0000,    0.0000,    0.0000,   34.3500,    0.0000,    0.0000,    0.0000,    0.0000,   52.3900,    0.0000,    0.0000,    0.0000,
Round 5 Game 2: North Carolina defeats Syracuse,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   40.1100,    0.0000,    0.0000,    0.0000,    0.0000,   59.8900,    0.0000,    0.0000,    0.0000,

Probability of Losing
,David,Don,Duncan,Ellie,Drew,Greg,JB,Mark,Terry,Jake,Amit,Nick,Raj,matt,
initial   ,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 5 Game 1: Villanova defeats Oklahoma,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0000,    0.0000,    0.0000,    0.0000,    0.0000,
Round 5 Game 2: North Carolina defeats Syracuse,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,  100.0000,    0.0000,    0.0000,    0.0000,    0.0000,

Best Finish
,David,Don,Duncan,Ellie,Drew,Greg,JB,Mark,Terry,Jake,Amit,Nick,Raj,matt,
initial   ,     4,     1,     6,     9,     7,     1,     2,     4,     2,    14,     1,    13,     4,     7,
Round 5 Game 1: Villanova defeats Oklahoma,     4,     1,     6,     9,     7,     1,    12,     4,     2,    14,     1,    13,     7,     7,
Round 5 Game 2: North Carolina defeats Syracuse,     6,     3,     8,    11,     9,     1,    12,     4,     2,    14,     1,    13,     9,     7,

Worst Finish
,David,Don,Duncan,Ellie,Drew,Greg,JB,Mark,Terry,Jake,Amit,Nick,Raj,matt,
initial   ,     8,     5,    10,    12,    11,     4,    12,    11,     7,    14,     4,    13,    10,    12,
Round 5 Game 1: Villanova defeats Oklahoma,     6,     5,     8,    11,    10,     3,    12,    10,     5,    14,     3,    13,    10,    11,
Round 5 Game 2: North Carolina defeats Syracuse,     6,     5,     8,    11,    10,     3,    12,     5,     4,    14,     2,    13,    10,     7,

Min Score
,David,Don,Duncan,Ellie,Drew,Greg,JB,Mark,Terry,Jake,Amit,Nick,Raj,matt,
initial   ,    98,   124,    88,    86,    87,   122,    76,    83,    96,    66,   120,    71,    87,    81,
Round 5 Game 1: Villanova defeats Oklahoma,    98,   124,    88,    86,    87,   122,    76,    83,    96,    66,   120,    71,    87,    81,
Round 5 Game 2: North Carolina defeats Syracuse,    98,   124,    88,    86,    87,   138,    76,    99,   112,    66,   136,    71,    87,    97,

Max Score
,David,Don,Duncan,Ellie,Drew,Greg,JB,Mark,Terry,Jake,Amit,Nick,Raj,matt,
initial   ,    98,   140,    88,    86,    87,   138,   127,   131,   144,    66,   168,    71,   103,    97,
Round 5 Game 1: Villanova defeats Oklahoma,    98,   124,    88,    86,    87,   138,    76,   131,   144,    66,   168,    71,    87,    97,
Round 5 Game 2: North Carolina defeats Syracuse,    98,   124,    88,    86,    87,   138,    76,   131,   144,    66,   168,    71,    87,    97,
