Probability of Winning
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,   22.1400,    2.4700,   23.9800,    2.2500,   41.7100,    2.1000,    0.0000,    0.0000,    0.9100,    1.8200,    4.2100,
Round 3 Game 1: Villanova defeats Miami (FL),   11.9200,    1.1200,   29.9800,    2.1200,   48.3800,    1.3800,    0.0000,    0.0000,    0.3300,    1.8000,    3.6000,
Round 3 Game 2: Oklahoma defeats Texas A&M,   12.2900,    0.0000,   29.9200,    1.9300,   48.7900,    2.3700,    0.0000,    0.0000,    0.0000,    1.7500,    3.7400,
Round 3 Game 3: Kansas defeats Maryland,   14.3200,    0.0000,   33.5700,    1.7700,   42.1300,    2.1700,    0.0000,    0.0000,    0.0000,    2.0100,    4.7500,
Round 3 Game 4: Oregon defeats Duke,   25.5400,    0.0000,   17.1200,    3.6900,   41.5300,    4.2200,    0.0000,    0.0000,    0.0000,    0.0000,    9.3100,
Round 3 Game 5: Virginia defeats Iowa State,   35.0300,    0.0000,    8.7800,    1.8600,   48.3900,    2.1600,    0.0000,    0.0000,    0.0000,    0.0000,    5.9400,
Round 3 Game 6: Wisconsin defeats Notre Dame,   35.5100,    0.0000,    8.5300,    2.0100,   47.3800,    2.4900,    0.0000,    0.0000,    0.0000,    0.0000,    6.5700,
Round 3 Game 7: Syracuse defeats Gonzaga,   38.5600,    0.0000,    6.7800,    1.7300,   48.8000,    1.3000,    0.0000,    0.0000,    0.0000,    0.0000,    4.1300,
Round 3 Game 8: North Carolina defeats Indiana,   41.4500,    0.0000,    8.9700,    0.8900,   46.0100,    0.7700,    0.0000,    0.0000,    0.0000,    0.0000,    2.6800,

Probability of Losing
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    0.1600,    1.1500,    0.0000,    0.0000,    0.0500,    0.0000,    4.3900,   80.2400,   12.8900,    7.1700,    0.0000,
Round 3 Game 1: Villanova defeats Miami (FL),    0.1800,    1.6100,    0.0000,    0.0000,    0.0000,    0.0000,    4.1300,   80.2000,   17.0100,    4.8000,    0.0000,
Round 3 Game 2: Oklahoma defeats Texas A&M,    0.0000,    2.6300,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   86.6600,   21.6300,    0.0000,    0.0000,
Round 3 Game 3: Kansas defeats Maryland,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   91.9000,   10.9600,    0.0000,    0.0000,
Round 3 Game 4: Oregon defeats Duke,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   84.2700,   21.2500,    0.0000,    0.0000,
Round 3 Game 5: Virginia defeats Iowa State,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   77.7200,   29.9600,    0.0000,    0.0000,
Round 3 Game 6: Wisconsin defeats Notre Dame,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   78.2700,   29.5200,    0.0000,    0.0000,
Round 3 Game 7: Syracuse defeats Gonzaga,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   76.5200,   31.3500,    0.0000,    0.0000,
Round 3 Game 8: North Carolina defeats Indiana,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,    0.0000,   68.3800,   31.6200,    0.0000,    0.0000,

Best Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,     1,     1,     1,     1,     1,     1,     3,     2,     1,     1,     1,
Round 3 Game 1: Villanova defeats Miami (FL),     1,     1,     1,     1,     1,     1,     3,     2,     1,     1,     1,
Round 3 Game 2: Oklahoma defeats Texas A&M,     1,     7,     1,     1,     1,     1,     3,     8,     5,     1,     1,
Round 3 Game 3: Kansas defeats Maryland,     1,     7,     1,     1,     1,     1,     3,    10,     5,     1,     1,
Round 3 Game 4: Oregon defeats Duke,     1,     7,     1,     1,     1,     1,     3,    10,     9,     5,     1,
Round 3 Game 5: Virginia defeats Iowa State,     1,     7,     1,     1,     1,     1,     4,    10,     9,     5,     1,
Round 3 Game 6: Wisconsin defeats Notre Dame,     1,     7,     1,     1,     1,     1,     4,    10,     9,     5,     1,
Round 3 Game 7: Syracuse defeats Gonzaga,     1,     7,     1,     1,     1,     1,     4,    10,     9,     5,     1,
Round 3 Game 8: North Carolina defeats Indiana,     1,     7,     1,     1,     1,     1,     4,    10,     9,     5,     1,

Worst Finish
,ellie.picks,evan.picks,greg.picks,jasmine.picks,johnny.picks,johnson.picks,julie.picks,miles.picks,mitzi.picks,pia.picks,zeke.picks,
initial   ,    11,    11,     9,    10,    11,     9,    11,    11,    11,    11,     9,
Round 3 Game 1: Villanova defeats Miami (FL),    11,    11,     9,    10,    10,     9,    11,    11,    11,    11,     8,
Round 3 Game 2: Oklahoma defeats Texas A&M,     9,    11,     6,     9,    10,     7,     9,    11,    11,    10,     6,
Round 3 Game 3: Kansas defeats Maryland,     9,    10,     6,     9,    10,     7,     9,    11,    11,     9,     6,
Round 3 Game 4: Oregon defeats Duke,     7,     9,     6,     8,    10,     7,     7,    11,    11,     9,     6,
Round 3 Game 5: Virginia defeats Iowa State,     6,     9,     6,     8,    10,     7,     7,    11,    11,     9,     6,
