Probability of Winning
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,    1.8900,    7.1500,    0.2500,    0.0000,    0.9100,   34.1700,    1.5400,    1.9600,    0.0000,    0.0000,   50.1000,    0.0000,    3.8900,    0.0000,
Round 3 Game 1: Villanova defeats Miami (FL),    2.2600,    7.5400,    0.3400,    0.0000,    0.9100,   34.3100,    1.7700,    0.7200,    0.0000,    0.0000,   49.4900,    0.0000,    2.8800,    0.0000,
Round 3 Game 2: Oklahoma defeats Texas A&M,    0.0000,   11.4100,    0.4300,    0.0000,    0.0000,   33.6200,    2.6500,    0.0000,    0.0000,    0.0000,   49.0300,    0.0000,    3.2000,    0.0000,
Round 3 Game 3: Kansas defeats Maryland,    0.0000,   12.3600,    0.3300,    0.0000,    0.0000,   39.3100,    2.9600,    0.0000,    0.0000,    0.0000,   45.2800,    0.0000,    0.0000,    0.0000,
Round 3 Game 4: Oregon defeats Duke,    0.0000,   15.6700,    0.8400,    0.0000,    0.0000,   28.7600,    0.0000,    0.0000,    0.0000,    0.0000,   55.3400,    0.0000,    0.0000,    0.0000,
Round 3 Game 5: Virginia defeats Iowa State,    0.0000,   15.5600,    0.0000,    0.0000,    0.0000,   26.0500,    0.0000,    0.0000,    0.0000,    0.0000,   58.3900,    0.0000,    0.0000,    0.0000,
Round 3 Game 6: Wisconsin defeats Notre Dame,    0.0000,   15.0400,    0.0000,    0.0000,    0.0000,   26.5400,    0.0000,    0.0000,    0.0000,    0.0000,   58.4200,    0.0000,    0.0000,    0.0000,
Round 3 Game 7: Syracuse defeats Gonzaga,    0.0000,   16.7400,    0.0000,    0.0000,    0.0000,   27.9500,    0.0000,    0.0000,    0.0000,    0.0000,   55.3100,    0.0000,    0.0000,    0.0000,
Round 3 Game 8: North Carolina defeats Indiana,    0.0000,   13.1700,    0.0000,    0.0000,    0.0000,   26.1900,    0.0000,    0.0000,    0.0000,    0.0000,   60.6400,    0.0000,    0.0000,    0.0000,

Probability of Losing
,David's Dazzling Bracket,Don's Dribbling Problem,Dunk's SpaceX Bracket,Ellie's Exciting Bracket,One Ball Two Holes,Gregory's Groovy Bracket,JB's Majestic Bracket,My Swag Bracket,Terry's Great Trump Bracket,Jake's Trueskill + MCTS,Amit's Awesome Bracket,My Optimal Bracket,Raj arshi's Swag Bracket,Matt's Bracket,
initial   ,    0.0000,    0.0000,    1.1200,    0.5600,    0.0000,    0.0000,   17.0200,    0.0000,    0.0000,   32.5900,    0.0000,   52.5100,    0.0000,    0.0000,
Round 3 Game 1: Villanova defeats Miami (FL),    0.0000,    0.0000,    0.0000,    0.3100,    0.0000,    0.0000,   14.8800,    0.0000,    0.0000,   31.1500,    0.0000,   57.1400,    0.0000,    0.0000,
